"idx";"Player";"side_swing_plane_p2";"side_swing_plane_p3";"side_swing_plane_p4";"side_swing_plane_p5";"side_swing_plane_p6";"side_err_msg";"side_update_at";"clubhead_face_sweet_spot";"clubhead_err_msg";"clubhead_update_at";"front_is_head_lifted";"front_is_head_rotated";"front_is_knee_straightened";"front_err_msg";"front_update_at"
"143035";"yuzl";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-16 14:30:17";1;"";"2023-01-16 14:29:49";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:29:46"
"143041";"Guest.2";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-06 14:31:31";1;"";"2023-02-06 14:31:02";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:30:59"
"143051";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-21 14:31:03";1;"";"2022-12-21 14:30:32";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-21 14:30:30"
"143052";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-01-10 14:31:53";1;"";"2023-01-10 14:31:19";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-10 14:31:15"
"143053";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-06 14:31:51";1;"";"2023-01-06 14:31:18";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:31:15"
"143054";"CEO1214";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-14 14:31:47";1;"";"2022-12-14 14:31:13";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-14 14:31:10"
"143056";"Test-Celery";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-09 14:30:36";1;"";"2023-01-09 14:30:13";0;0;0;"";""
"143057";"K1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-02-10 14:31:47";1;"";"2023-02-10 14:31:17";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-10 14:31:15"
"143058";"Test-Celery";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5, IEEE 未偵測到 P6";"2022-12-27 14:31:44";1;"";"2022-12-27 14:31:20";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:31:18"
"143110";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-13 14:32:14";0;"";"";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-13 14:31:35"
"143116";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-02-06 14:32:07";1;"";"2023-02-06 14:31:37";0;0;0;"IEEE 未偵測到 p1 p4";"2023-02-06 14:31:34"
"143117";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P4, IEEE 未偵測到 P5, IEEE 未偵測到 P6";"2023-01-10 14:32:03";1;"";"2023-01-10 14:31:43";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-10 14:31:41"
"143123";"Guest.1";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, IEEE 未偵測到 P3, IEEE 未偵測到 P4, IEEE 未偵測到 P5";"2023-01-13 14:31:08";1;"";"2023-01-13 14:30:39";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-13 14:30:37"
"143124";"CEO1214";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-14 14:32:20";1;"";"2022-12-14 14:31:44";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-14 14:31:41"
"143130";"yang";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢, 未偵測到 P7 擊球瞬間, IEEE 未偵測到 P6";"2023-01-16 14:31:14";1;"";"2023-01-16 14:30:43";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-16 14:30:40"
"143135";"LewisQQ";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-27 14:32:32";1;"";"2022-12-27 14:31:59";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-27 14:31:55"
"143140";"sunny";2;1;2;2;1;"";"2023-01-09 14:31:19";1;"";"2023-01-09 14:31:00";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-09 14:30:57"
"143144";"chi";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2023-01-06 14:32:41";0;"";"";0;0;0;"IEEE 未偵測到 p1 p4";"2023-01-06 14:32:06"
"143152";"Player0";0;0;0;0;0;"未偵測到球, 未偵測到 P1 準備姿勢";"2022-12-14 14:32:17";1;"";"2022-12-14 14:32:07";0;0;0;"IEEE 未偵測到 p1 p4";"2022-12-14 14:32:05"
